title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
Mona Lisa,Leonardo da Vinci,1503,wikimedia,Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg,https://commons.wikimedia.org/wiki/File:Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg,Public domain,A,1000000,renaissance|portrait|oil painting|Leonardo|Louvre
The Last Supper,Leonardo da Vinci,1498,wikimedia,Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,https://commons.wikimedia.org/wiki/File:Leonardo_da_Vinci_-_The_Last_Supper_high_res.jpg,Public domain,A,950000,renaissance|mural|religious|Leonardo|Milan
Creation of Adam (detail),Michelangelo,1512,wikimedia,Michelangelo_-_Creation_of_Adam_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Michelangelo_-_Creation_of_Adam_(cropped).jpg,Public domain,B,280000,renaissance|fresco|Sistine Chapel|Michelangelo|religious
The School of Athens,Raphael,1511,wikimedia,Raphael_School_of_Athens.jpg,https://commons.wikimedia.org/wiki/File:%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg,Public domain,B,260000,renaissance|fresco|philosophy|Raphael|Vatican
The Birth of Venus,Sandro Botticelli,1485,wikimedia,Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg,https://commons.wikimedia.org/wiki/File:Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg,Public domain,B,250000,renaissance|mythology|tempera|Botticelli|Uffizi
Primavera,Sandro Botticelli,1482,wikimedia,Botticelli-primavera.jpg,https://commons.wikimedia.org/wiki/File:Botticelli-primavera.jpg,Public domain,B,240000,renaissance|allegory|tempera|Botticelli|Uffizi
Venus of Urbino,Titian,1538,wikimedia,Tiziano_-_Venere_di_Urbino_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Tiziano_-_Venere_di_Urbino_-_Google_Art_Project.jpg,Public domain,B,220000,renaissance|nude|oil painting|Titian|Uffizi
Arnolfini Portrait,Jan van Eyck,1434,wikimedia,Van_Eyck_-_Arnolfini_Portrait.jpg,https://commons.wikimedia.org/wiki/File:Van_Eyck_-_Arnolfini_Portrait.jpg,Public domain,C,95000,northern renaissance|oil painting|portrait|van Eyck|National Gallery
The Annunciation,Fra Angelico,1440,wikimedia,Fra_Angelico_-_The_Annunciation_-_WGA00555.jpg,https://commons.wikimedia.org/wiki/File:Fra_Angelico_-_The_Annunciation_-_WGA00555.jpg,Public domain,C,88000,renaissance|fresco|religious|Fra Angelico|San Marco
The Sistine Madonna,Raphael,1512,wikimedia,RAFAEL_-_Madonna_Sixtina_%28Gem%C3%A4ldegalerie_Alte_Meister%2C_Dresden%2C_1513-14%29.jpg,https://commons.wikimedia.org/wiki/File:RAFAEL_-_Madonna_Sixtina_(Gem%C3%A4ldegalerie_Alte_Meister%2C_Dresden%2C_1513-14).jpg,Public domain,C,85000,renaissance|religious|oil painting|Raphael|Madonna
