title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
The Calling of Saint Matthew,Caravaggio,1600,wikimedia,The_Calling_of_Saint_Matthew-Caravaggo_%281599-1600%29.jpg,https://commons.wikimedia.org/wiki/File:The_Calling_of_Saint_Matthew-Caravaggo_(1599-1600).jpg,Public domain,A,900000,baroque|chiaroscuro|religious|Caravaggio|Rome
The Night Watch,Rembrandt van Rijn,1642,rijks,SK-C-5,https://www.rijksmuseum.nl/en/collection/SK-C-5,Public domain,A,950000,baroque|group portrait|oil painting|Rembrandt|Rijksmuseum
Girl with a Pearl Earring,Johannes Vermeer,1665,wikimedia,Meisje_met_de_parel.jpg,https://commons.wikimedia.org/wiki/File:Meisje_met_de_parel.jpg,Public domain,B,290000,baroque|portrait|oil painting|Vermeer|The Hague
Las Meninas,Diego Velazquez,1656,wikimedia,Las_Meninas%2C_by_Diego_Vel%C3%A1zquez%2C_from_Prado_in_Google_Earth.jpg,https://commons.wikimedia.org/wiki/File:Las_Meninas%2C_by_Diego_Vel%C3%A1zquez%2C_from_Prado_in_Google_Earth.jpg,Public domain,B,280000,baroque|group portrait|oil painting|Velazquez|Prado
Judith Slaying Holofernes,Artemisia Gentileschi,1620,wikimedia,Artemisia_Gentileschi_-_Judith_Beheading_Holofernes_-_WGA8563.jpg,https://commons.wikimedia.org/wiki/File:Artemisia_Gentileschi_-_Judith_Beheading_Holofernes.jpg,Public domain,B,250000,baroque|biblical|oil painting|Gentileschi|Uffizi
The Milkmaid,Johannes Vermeer,1660,rijks,SK-A-2344,https://www.rijksmuseum.nl/en/collection/SK-A-2344,Public domain,B,260000,baroque|genre|oil painting|Vermeer|Rijksmuseum
The Laughing Cavalier,Frans Hals,1624,wikimedia,Frans_Hals_-_Portret_van_een_man_%28De_lachende_cavalier%29.jpg,https://commons.wikimedia.org/wiki/File:Frans_Hals_-_The_Laughing_Cavalier.jpg,Public domain,B,200000,baroque|portrait|oil painting|Hals|Wallace Collection
The Elevation of the Cross,Peter Paul Rubens,1611,wikimedia,Peter_Paul_Rubens_-_The_Elevation_of_the_Cross_-_WGA20204.jpg,https://commons.wikimedia.org/wiki/File:Peter_Paul_Rubens_-_The_Elevation_of_the_Cross.jpg,Public domain,C,95000,baroque|religious|oil painting|Rubens|Antwerp
Judith Beheading Holofernes,Caravaggio,1598,wikimedia,Caravaggio_Judith_Beheading_Holofernes.jpg,https://commons.wikimedia.org/wiki/File:Caravaggio_Judith_Beheading_Holofernes.jpg,Public domain,C,90000,baroque|biblical|chiaroscuro|Caravaggio|Rome
The Return of the Prodigal Son,Rembrandt van Rijn,1669,wikimedia,Rembrandt_Harmensz_van_Rijn_-_Return_of_the_Prodigal_Son_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Rembrandt_-_Return_of_the_Prodigal_Son.jpg,Public domain,C,88000,baroque|religious|oil painting|Rembrandt|Hermitage
Self-Portrait 1660,Rembrandt van Rijn,1660,wikimedia,Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Rembrandt_van_Rijn_-_Self-Portrait_1660.jpg,Public domain,C,85000,baroque|portrait|oil painting|Rembrandt|Met
