title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
The Swing,Jean-Honore Fragonard,1767,wikimedia,Fragonard%2C_The_Swing.jpg,https://commons.wikimedia.org/wiki/File:Fragonard%2C_The_Swing.jpg,Public domain,A,850000,rococo|oil painting|genre|Fragonard|Wallace Collection
Pilgrimage to the Isle of Cythera,Antoine Watteau,1717,wikimedia,L%27Embarquement_pour_Cythere%2C_by_Antoine_Watteau%2C_from_C2RMF_retouched.jpg,https://commons.wikimedia.org/wiki/File:L%27Embarquement_pour_Cythere%2C_by_Antoine_Watteau.jpg,Public domain,A,800000,rococo|fete galante|oil painting|Watteau|Louvre
The Death of Marat,Jacques-Louis David,1793,wikimedia,Death_of_Marat_by_David.jpg,https://commons.wikimedia.org/wiki/File:Death_of_Marat_by_David.jpg,Public domain,B,280000,neoclassicism|history painting|oil painting|David|Brussels
Oath of the Horatii,Jacques-Louis David,1784,wikimedia,Jacques-Louis_David_-_Oath_of_the_Horatii_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Jacques-Louis_David_-_Oath_of_the_Horatii.jpg,Public domain,B,270000,neoclassicism|history painting|oil painting|David|Louvre
La Grande Odalisque,Jean-Auguste-Dominique Ingres,1814,wikimedia,Jean_Auguste_Dominique_Ingres%2C_La_Grande_Odalisque%2C_1814.jpg,https://commons.wikimedia.org/wiki/File:Jean_Auguste_Dominique_Ingres_-_La_Grande_Odalisque.jpg,Public domain,B,260000,neoclassicism|nude|oil painting|Ingres|Louvre
The Third of May 1808,Francisco Goya,1814,wikimedia,El_Tres_de_Mayo%2C_by_Francisco_de_Goya%2C_from_Prado_thin_black_margin.jpg,https://commons.wikimedia.org/wiki/File:El_Tres_de_Mayo%2C_by_Francisco_de_Goya.jpg,Public domain,B,250000,romanticism|history painting|oil painting|Goya|Prado
Psyche Revived by Cupid's Kiss,Antonio Canova,1793,wikimedia,Psyche_revived_Louvre_MR1777.jpg,https://commons.wikimedia.org/wiki/File:Psyche_revived_Louvre_MR1777.jpg,Public domain,B,240000,neoclassicism|sculpture|marble|Canova|Louvre
Los Caprichos plate 43 - The Sleep of Reason Produces Monsters,Francisco Goya,1799,wikimedia,Francisco_Jos%C3%A9_de_Goya_y_Lucientes_-_The_sleep_of_reason_produces_monsters.jpg,https://commons.wikimedia.org/wiki/File:Francisco_Jos%C3%A9_de_Goya_-_The_sleep_of_reason_produces_monsters.jpg,Public domain,C,95000,romanticism|etching|print|Goya|Caprichos
Reclining Girl (Louise O'Murphy),Francois Boucher,1751,wikimedia,Fran%C3%A7ois_Boucher_-_Ruhendes_M%C3%A4dchen_-_Alte_Pinakothek.jpg,https://commons.wikimedia.org/wiki/File:Fran%C3%A7ois_Boucher_-_Ruhendes_M%C3%A4dchen.jpg,Public domain,C,88000,rococo|nude|oil painting|Boucher|Munich
Soap Bubbles,Jean-Simeon Chardin,1734,wikimedia,Jean-Sim%C3%A9on_Chardin_-_Soap_Bubbles_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Jean-Sim%C3%A9on_Chardin_-_Soap_Bubbles.jpg,Public domain,C,82000,rococo|genre|oil painting|Chardin|Met
Allegory of the Planets and Continents (ceiling detail),Giovanni Battista Tiepolo,1752,wikimedia,Giovanni_Battista_Tiepolo_-_Allegory_of_the_Planets_and_Continents.jpg,https://commons.wikimedia.org/wiki/File:Giovanni_Battista_Tiepolo_-_Allegory_Planets_Continents.jpg,Public domain,C,75000,rococo|fresco|ceiling|Tiepolo|Wurzburg
The Blue Boy,Thomas Gainsborough,1770,wikimedia,Thomas_Gainsborough_-_The_Blue_Boy_%28The_Huntington_Library%29.jpg,https://commons.wikimedia.org/wiki/File:Thomas_Gainsborough_-_The_Blue_Boy.jpg,Public domain,C,72000,rococo|portrait|oil painting|Gainsborough|Huntington
Self-Portrait as the Personification of Painting,Joshua Reynolds,1775,wikimedia,Sir_Joshua_Reynolds_-_Self-Portrait.jpg,https://commons.wikimedia.org/wiki/File:Sir_Joshua_Reynolds_-_Self-Portrait.jpg,Public domain,C,65000,neoclassicism|portrait|oil painting|Reynolds|Royal Academy
The Entrance to the Grand Canal Venice,Canaletto,1730,wikimedia,Canaletto_-_The_Entrance_to_the_Grand_Canal%2C_Venice_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Canaletto_-_Entrance_Grand_Canal_Venice.jpg,Public domain,C,62000,veduta|landscape|oil painting|Canaletto|Venice
Cornelia Pointing to Her Children as Her Treasures,Angelica Kauffman,1785,wikimedia,Angelica_Kauffmann_-_Cornelia_Pointing_to_her_Children_as_Her_Treasures.jpg,https://commons.wikimedia.org/wiki/File:Angelica_Kauffmann_-_Cornelia.jpg,Public domain,C,58000,neoclassicism|history painting|oil painting|Kauffman|Virginia
Self-Portrait with Daughter Julie,Elisabeth Vigee Le Brun,1786,wikimedia,Vig%C3%A9e-Lebrun_Marie_Antoinette_1783.jpg,https://commons.wikimedia.org/wiki/File:Vig%C3%A9e_Le_Brun_-_Self-Portrait_with_Daughter.jpg,Public domain,C,55000,neoclassicism|portrait|oil painting|Vigee Le Brun|Louvre
Saturn Devouring His Son,Francisco Goya,1823,wikimedia,Francisco_de_Goya%2C_Saturno_devorando_a_su_hijo_%281819-1823%29.jpg,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_-_Saturno_devorando_a_su_hijo.jpg,Public domain,C,50000,romanticism|Black Paintings|oil painting|Goya|Prado
La Maja Desnuda,Francisco Goya,1800,wikimedia,Goya_Maja_desnuda2.jpg,https://commons.wikimedia.org/wiki/File:Goya_Maja_desnuda2.jpg,Public domain,D,28000,neoclassicism|nude|oil painting|Goya|Prado
