title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
Liberty Leading the People,Eugene Delacroix,1830,wikimedia,Eugene_Delacroix_-_Le_28_Juillet._La_Liberte_guidant_le_peuple.jpg,https://commons.wikimedia.org/wiki/File:Eugene_Delacroix_-_La_liberte_guidant_le_peuple.jpg,Public domain,A,950000,romanticism|history painting|oil painting|Delacroix|Louvre
The Raft of the Medusa,Theodore Gericault,1819,wikimedia,JEAN_LOUIS_THEODORE_GERICAULT_-_La_Balsa_de_la_Medusa_%28Museo_del_Louvre%2C_1818-19%29.jpg,https://commons.wikimedia.org/wiki/File:Theodore_Gericault_-_The_Raft_of_the_Medusa.jpg,Public domain,A,900000,romanticism|history painting|oil painting|Gericault|Louvre
The Fighting Temeraire,J. M. W. Turner,1839,wikimedia,The_Fighting_Temeraire%2C_JMW_Turner%2C_National_Gallery.jpg,https://commons.wikimedia.org/wiki/File:The_Fighting_Temeraire%2C_JMW_Turner.jpg,Public domain,B,280000,romanticism|marine|oil painting|Turner|National Gallery
Wanderer above the Sea of Fog,Caspar David Friedrich,1818,wikimedia,Caspar_David_Friedrich_-_Wanderer_above_the_sea_of_fog.jpg,https://commons.wikimedia.org/wiki/File:Caspar_David_Friedrich_-_Wanderer_above_the_sea_of_fog.jpg,Public domain,B,270000,romanticism|landscape|oil painting|Friedrich|Hamburg
Saturn Devouring His Son,Francisco Goya,1823,wikimedia,Francisco_de_Goya%2C_Saturno_devorando_a_su_hijo_%281819-1823%29.jpg,https://commons.wikimedia.org/wiki/File:Francisco_de_Goya_-_Saturno_devorando_a_su_hijo.jpg,Public domain,B,260000,romanticism|Black Paintings|oil painting|Goya|Prado
The Hay Wain,John Constable,1821,wikimedia,John_Constable_-_The_Hay_Wain_%281821%29.jpg,https://commons.wikimedia.org/wiki/File:John_Constable_-_The_Hay_Wain_(1821).jpg,Public domain,B,240000,romanticism|landscape|oil painting|Constable|National Gallery
The Great Wave off Kanagawa,Katsushika Hokusai,1831,wikimedia,Tsunami_by_hokusai_19th_century.jpg,https://commons.wikimedia.org/wiki/File:Tsunami_by_hokusai_19th_century.jpg,Public domain,B,250000,ukiyo-e|woodblock print|landscape|Hokusai|Japan
Sudden Shower over Shin-Ohashi Bridge and Atake,Utagawa Hiroshige,1857,wikimedia,Hiroshige_-_Evening_Shower_at_Atake_and_the_Great_Bridge.jpg,https://commons.wikimedia.org/wiki/File:Hiroshige_-_Sudden_Shower_over_Shin-Ohashi.jpg,Public domain,C,95000,ukiyo-e|woodblock print|landscape|Hiroshige|Japan
Rain Steam and Speed,J. M. W. Turner,1844,wikimedia,Turner_-_Rain%2C_Steam_and_Speed_-_National_Gallery_file.jpg,https://commons.wikimedia.org/wiki/File:Turner_-_Rain%2C_Steam_and_Speed.jpg,Public domain,C,90000,romanticism|landscape|oil painting|Turner|National Gallery
The Abbey in the Oakwood,Caspar David Friedrich,1810,wikimedia,Caspar_David_Friedrich_-_Abtei_im_Eichwald_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Caspar_David_Friedrich_-_Abtei_im_Eichwald.jpg,Public domain,C,85000,romanticism|landscape|oil painting|Friedrich|Berlin
The Oxbow,Thomas Cole,1836,wikimedia,Cole_Thomas_The_Oxbow_%28The_Connecticut_River_near_Northampton_1836%29.jpg,https://commons.wikimedia.org/wiki/File:Cole_Thomas_The_Oxbow.jpg,Public domain,C,80000,romanticism|landscape|oil painting|Cole|Met
