title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
The Gleaners,Jean-Francois Millet,1857,wikimedia,Jean-Fran%C3%A7ois_Millet_-_Gleaners_-_Google_Art_Project_2.jpg,https://commons.wikimedia.org/wiki/File:Jean-Fran%C3%A7ois_Millet_-_Gleaners.jpg,Public domain,A,900000,realism|rural|oil painting|Millet|Musee d'Orsay
Olympia,Edouard Manet,1863,wikimedia,Edouard_Manet_-_Olympia_-_Google_Art_Project_3.jpg,https://commons.wikimedia.org/wiki/File:Edouard_Manet_-_Olympia.jpg,Public domain,A,850000,realism|nude|oil painting|Manet|Musee d'Orsay
Le Dejeuner sur l'herbe,Edouard Manet,1863,wikimedia,Edouard_Manet_-_Luncheon_on_the_Grass_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Edouard_Manet_-_Le_Dejeuner_sur_l'herbe.jpg,Public domain,B,290000,realism|nude|oil painting|Manet|Musee d'Orsay
The Stone Breakers,Gustave Courbet,1849,wikimedia,Gustave_Courbet_-_The_Stonebreakers_-_WGA05457.jpg,https://commons.wikimedia.org/wiki/File:Gustave_Courbet_-_The_Stonebreakers.jpg,Public domain - destroyed in WWII,B,280000,realism|labor|oil painting|Courbet|destroyed
The Third-Class Carriage,Honore Daumier,1864,wikimedia,Honore_Daumier_-_The_Third-Class_Carriage_-_Walters.jpg,https://commons.wikimedia.org/wiki/File:Honore_Daumier_-_The_Third-Class_Carriage.jpg,Public domain,B,260000,realism|social|oil painting|Daumier|Met
A Burial at Ornans,Gustave Courbet,1850,wikimedia,Gustave_Courbet_-_A_Burial_at_Ornans_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Gustave_Courbet_-_A_Burial_at_Ornans.jpg,Public domain,B,250000,realism|history painting|oil painting|Courbet|Musee d'Orsay
Rue Transnonain le 15 Avril 1834,Honore Daumier,1834,wikimedia,Honore_Daumier_-_Rue_Transnonain.jpg,https://commons.wikimedia.org/wiki/File:Honore_Daumier_-_Rue_Transnonain.jpg,Public domain,B,220000,realism|lithograph|print|Daumier|political
Over London by Rail,Gustave Dore,1872,wikimedia,Gustave_dore_over_london_by_rail.jpg,https://commons.wikimedia.org/wiki/File:Gustave_dore_over_london_by_rail.jpg,Public domain,C,95000,realism|engraving|print|Dore|London
The Angelus,Jean-Francois Millet,1859,wikimedia,JEAN-FRANCOIS_MILLET_-_El_Angelus_%28Museo_de_Orsay%2C_1857-1859%29.jpg,https://commons.wikimedia.org/wiki/File:Jean-Fran%C3%A7ois_Millet_-_The_Angelus.jpg,Public domain,C,90000,realism|rural|oil painting|Millet|Musee d'Orsay
The Origin of the World,Gustave Courbet,1866,wikimedia,Origin-of-the-World.jpg,https://commons.wikimedia.org/wiki/File:Gustave_Courbet_-_Origin_of_the_World.jpg,Public domain,C,85000,realism|nude|oil painting|Courbet|Musee d'Orsay
The Horse Fair,Rosa Bonheur,1853,wikimedia,Rosa_Bonheur_-_The_Horse_Fair_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Rosa_Bonheur_-_The_Horse_Fair.jpg,Public domain,C,80000,realism|animal|oil painting|Bonheur|Met
Prisoners from the Front,Winslow Homer,1866,met,20012,https://www.metmuseum.org/art/collection/search/20012,Public domain,C,75000,realism|Civil War|oil painting|Homer|Met
Max Schmitt in a Single Scull,Thomas Eakins,1871,met,10814,https://www.metmuseum.org/art/collection/search/10814,Public domain,C,72000,realism|sport|oil painting|Eakins|Met
Gargantua,Honore Daumier,1831,wikimedia,Honore_Daumier_-_Gargantua.jpg,https://commons.wikimedia.org/wiki/File:Honore_Daumier_-_Gargantua.jpg,Public domain,C,65000,realism|lithograph|satire|Daumier|political
At the Moulin Rouge,Henri de Toulouse-Lautrec,1892,wikimedia,Henri_de_Toulouse-Lautrec_-_At_the_Moulin_Rouge_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Toulouse-Lautrec_-_At_the_Moulin_Rouge.jpg,Public domain,C,60000,post-impressionism|nightlife|oil painting|Toulouse-Lautrec|Chicago
Jane Avril at the Jardin de Paris,Henri de Toulouse-Lautrec,1893,wikimedia,Toulouse-Lautrec_-_Jane_Avril.jpg,https://commons.wikimedia.org/wiki/File:Toulouse-Lautrec_-_Jane_Avril_poster.jpg,Public domain,C,55000,post-impressionism|poster|lithograph|Toulouse-Lautrec|Art Nouveau
Job Cigarettes poster,Alphonse Mucha,1896,wikimedia,Alfons_Mucha_-_Job_Cigarettes.jpg,https://commons.wikimedia.org/wiki/File:Alfons_Mucha_-_Job_Cigarettes.jpg,Public domain,C,50000,Art Nouveau|poster|lithograph|Mucha|decorative
The Weavers (cycle plate),Kathe Kollwitz,1897,wikimedia,Kathe_Kollwitz_-_Ein_Weberaufstand_-_Weberzug.jpg,https://commons.wikimedia.org/wiki/File:Kathe_Kollwitz_-_Weavers_cycle.jpg,Public domain,D,28000,realism|etching|print|Kollwitz|social
The Climax (Salome illustration),Aubrey Beardsley,1894,wikimedia,Aubrey_Beardsley_-_The_Climax.jpg,https://commons.wikimedia.org/wiki/File:Aubrey_Beardsley_-_The_Climax.jpg,Public domain,D,24000,Art Nouveau|illustration|ink|Beardsley|Salome
Eaux-Fortes sur Paris - Le Stryge,Charles Meryon,1853,wikimedia,Charles_Meryon_-_Le_Stryge.jpg,https://commons.wikimedia.org/wiki/File:Charles_Meryon_-_Le_Stryge.jpg,Public domain,D,20000,realism|etching|print|Meryon|Paris
The Prisons plate VII,Giovanni Battista Piranesi,1761,wikimedia,Giovanni_Battista_Piranesi_-_Le_Carceri_d%27Invenzione.jpg,https://commons.wikimedia.org/wiki/File:Piranesi_-_Carceri_plate_VII.jpg,Public domain,D,18000,etching|print|architecture|Piranesi|imaginary
Nocturne in Blue and Gold - Old Battersea Bridge,James McNeill Whistler,1875,wikimedia,Whistler-Nocturne_in_blue_and_gold.jpg,https://commons.wikimedia.org/wiki/File:Whistler_-_Nocturne_Blue_and_Gold.jpg,Public domain,D,15000,tonalism|nocturne|oil painting|Whistler|Tate
Morning near Beauvais,Jean-Baptiste-Camille Corot,1855,wikimedia,Jean-Baptiste-Camille_Corot_-_Morning.jpg,https://commons.wikimedia.org/wiki/File:Corot_-_Morning_near_Beauvais.jpg,Public domain,D,10000,realism|landscape|oil painting|Corot|France
Three Women in Church,Wilhelm Leibl,1882,wikimedia,Wilhelm_Leibl_-_Three_Women_in_Church.jpg,https://commons.wikimedia.org/wiki/File:Wilhelm_Leibl_-_Three_Women_in_Church.jpg,Public domain,D,5000,realism|genre|oil painting|Leibl|Hamburg
The Gross Clinic,Thomas Eakins,1875,wikimedia,Thomas_Eakins_-_Portrait_of_Dr._Samuel_D._Gross_%28The_Gross_Clinic%29.jpg,https://commons.wikimedia.org/wiki/File:Thomas_Eakins_-_The_Gross_Clinic.jpg,Public domain,D,3000,realism|medical|oil painting|Eakins|Philadelphia
