title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
Water Lilies,Claude Monet,1906,wikimedia,Claude_Monet_-_Water_Lilies_-_1906%2C_Ryerson.jpg,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Water_Lilies_-_1906.jpg,Public domain,A,950000,impressionism|landscape|oil painting|Monet|water lilies
Impression Sunrise,Claude Monet,1872,wikimedia,Monet_-_Impression%2C_Sunrise.jpg,https://commons.wikimedia.org/wiki/File:Monet_-_Impression%2C_Sunrise.jpg,Public domain,A,900000,impressionism|marine|oil painting|Monet|Marmottan
Dance at Le Moulin de la Galette,Pierre-Auguste Renoir,1876,wikimedia,Pierre-Auguste_Renoir%2C_Le_Moulin_de_la_Galette.jpg,https://commons.wikimedia.org/wiki/File:Pierre-Auguste_Renoir_-_Le_Moulin_de_la_Galette.jpg,Public domain,B,290000,impressionism|genre|oil painting|Renoir|Musee d'Orsay
The Ballet Class,Edgar Degas,1874,wikimedia,Edgar_Degas_-_The_Ballet_Class_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Edgar_Degas_-_The_Ballet_Class.jpg,Public domain,B,270000,impressionism|ballet|oil painting|Degas|Musee d'Orsay
A Bar at the Folies-Bergere,Edouard Manet,1882,wikimedia,Edouard_Manet%2C_A_Bar_at_the_Folies-Bergere.jpg,https://commons.wikimedia.org/wiki/File:Edouard_Manet_-_A_Bar_at_the_Folies-Berg%C3%A8re.jpg,Public domain,B,260000,impressionism|genre|oil painting|Manet|Courtauld
The Child's Bath,Mary Cassatt,1893,wikimedia,Mary_Cassatt_-_The_Child%27s_Bath_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Mary_Cassatt_-_The_Child's_Bath.jpg,Public domain,B,240000,impressionism|mother and child|oil painting|Cassatt|Chicago
A Sunday Afternoon on the Island of La Grande Jatte,Georges Seurat,1886,wikimedia,Georges_Seurat_-_A_Sunday_on_La_Grande_Jatte_--_1884_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Georges_Seurat_-_A_Sunday_on_La_Grande_Jatte.jpg,Public domain,B,250000,pointillism|genre|oil painting|Seurat|Chicago
Sunflowers,Vincent van Gogh,1888,wikimedia,Vincent_Willem_van_Gogh_127.jpg,https://commons.wikimedia.org/wiki/File:Vincent_Willem_van_Gogh_127.jpg,Public domain,C,98000,post-impressionism|still life|oil painting|Van Gogh|National Gallery
Rouen Cathedral - West Facade Sunlight,Claude Monet,1894,wikimedia,Claude_Monet_-_Rouen_Cathedral%2C_West_Fa%C3%A7ade%2C_Sunlight.jpg,https://commons.wikimedia.org/wiki/File:Monet_-_Rouen_Cathedral_West_Facade_Sunlight.jpg,Public domain,C,92000,impressionism|architecture|oil painting|Monet|series
Haystacks (End of Summer),Claude Monet,1891,wikimedia,Claude_Monet_-_Meules_%281891%29.jpg,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Haystacks_End_of_Summer.jpg,Public domain,C,88000,impressionism|landscape|oil painting|Monet|series
