title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
The Starry Night,Vincent van Gogh,1889,wikimedia,Starry_Night_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Starry_Night_-_Google_Art_Project.jpg,Public domain,A,950000,post-impressionism|landscape|night|iconic
Cafe Terrace at Night,Vincent van Gogh,1888,wikimedia,Cafe_Terrace_at_Night_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Cafe_Terrace_at_Night_-_Google_Art_Project.jpg,Public domain,A,900000,post-impressionism|landscape|night|cafe
Where Do We Come From? What Are We? Where Are We Going?,Paul Gauguin,1897,wikimedia,Paul_Gauguin_-_D%27ou_venons-nous.jpg,https://commons.wikimedia.org/wiki/File:Paul_Gauguin_-_D%27ou_venons-nous.jpg,Public domain,B,280000,post-impressionism|symbolism|tahiti|figures
Mont Sainte-Victoire,Paul Cezanne,1904,wikimedia,Paul_C%C3%A9zanne_-_Mont_Sainte-Victoire.jpg,https://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne_-_Mont_Sainte-Victoire.jpg,Public domain,B,260000,post-impressionism|landscape|mountain|provence
Moulin Rouge: La Goulue,Henri de Toulouse-Lautrec,1891,wikimedia,Toulouse-Lautrec_-_Moulin_Rouge_-_La_Goulue.jpg,https://commons.wikimedia.org/wiki/File:Toulouse-Lautrec_-_Moulin_Rouge_-_La_Goulue.jpg,Public domain,B,220000,post-impressionism|poster|cabaret|paris
The Scream,Edvard Munch,1893,wikimedia,Edvard_Munch_-_The_Scream_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Edvard_Munch_-_The_Scream_-_Google_Art_Project.jpg,Public domain,B,290000,symbolism|expressionism|anxiety|iconic
The Kiss,Gustav Klimt,1907,wikimedia,Gustav_Klimt_-_The_Kiss_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Gustav_Klimt_-_The_Kiss_-_Google_Art_Project.jpg,Public domain,B,270000,symbolism|art-nouveau|gold|love
The Dream,Henri Rousseau,1910,wikimedia,Henri_Rousseau_-_Il_sogno.jpg,https://commons.wikimedia.org/wiki/File:Henri_Rousseau_-_Il_sogno.jpg,Public domain,C,85000,post-impressionism|naive|jungle|dream
Bedroom in Arles,Vincent van Gogh,1888,wikimedia,Vincent_van_Gogh_-_De_slaapkamer_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_De_slaapkamer_-_Google_Art_Project.jpg,Public domain,C,78000,post-impressionism|interior|arles|color
Self-Portrait with a Straw Hat,Vincent van Gogh,1887,met,436532,https://collectionapi.metmuseum.org/public/collection/v1/objects/436532,Public domain,C,92000,post-impressionism|portrait|self-portrait|van-gogh
The Card Players,Paul Cezanne,1892,wikimedia,Paul_C%C3%A9zanne_-_Les_Joueurs_de_cartes.jpg,https://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne_-_Les_Joueurs_de_cartes.jpg,Public domain,C,88000,post-impressionism|figures|cards|provence
Still Life with Apples,Paul Cezanne,1895,wikimedia,Paul_C%C3%A9zanne_-_Still_Life_with_Apples.jpg,https://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne_-_Still_Life_with_Apples.jpg,Public domain,C,72000,post-impressionism|still-life|fruit
Spirit of the Dead Watching,Paul Gauguin,1892,wikimedia,Paul_Gauguin_-_Manao_tupapau.jpg,https://commons.wikimedia.org/wiki/File:Paul_Gauguin_-_Manao_tupapau.jpg,Public domain,C,68000,post-impressionism|symbolism|tahiti|supernatural
Arearea,Paul Gauguin,1892,wikimedia,Paul_Gauguin_-_Arearea_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Paul_Gauguin_-_Arearea_-_Google_Art_Project.jpg,Public domain,C,65000,post-impressionism|tahiti|dog|landscape
Bathers at Asnieres,Georges Seurat,1884,wikimedia,Georges_Seurat_-_Bathers_at_Asni%C3%A8res.jpg,https://commons.wikimedia.org/wiki/File:Georges_Seurat_-_Bathers_at_Asni%C3%A8res.jpg,Public domain,C,75000,post-impressionism|neo-impressionism|bathers|seine
The Port of Saint-Tropez,Paul Signac,1901,wikimedia,Paul_Signac_-_The_Port_of_Saint-Tropez.jpg,https://commons.wikimedia.org/wiki/File:Paul_Signac_-_The_Port_of_Saint-Tropez.jpg,Public domain,C,58000,neo-impressionism|pointillism|harbor|coast
Divan Japonais,Henri de Toulouse-Lautrec,1893,wikimedia,Toulouse-Lautrec_-_Divan_Japonais.jpg,https://commons.wikimedia.org/wiki/File:Toulouse-Lautrec_-_Divan_Japonais.jpg,Public domain,C,52000,post-impressionism|poster|cabaret|paris
The Dining Room,Pierre Bonnard,1913,wikimedia,Pierre_Bonnard_-_The_Dining_Room.jpg,https://commons.wikimedia.org/wiki/File:Pierre_Bonnard_-_The_Dining_Room.jpg,Public domain,D,25000,nabis|interior|color|domestic
Interior with Woman in Red,Edouard Vuillard,1903,wikimedia,Edouard_Vuillard_-_Interior.jpg,https://commons.wikimedia.org/wiki/File:Edouard_Vuillard_-_Interior.jpg,Public domain,D,22000,nabis|interior|pattern|domestic
