title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
Composition VIII,Wassily Kandinsky,1923,wikimedia,Vassily_Kandinsky%2C_1923_-_Composition_8.jpg,https://commons.wikimedia.org/wiki/File:Vassily_Kandinsky%2C_1923_-_Composition_8.jpg,Public domain,A,850000,abstract|geometric|modernism|kandinsky
Broadway Boogie Woogie,Piet Mondrian,1943,wikimedia,Piet_Mondrian_-_Broadway_Boogie_Woogie.jpg,https://commons.wikimedia.org/wiki/File:Piet_Mondrian_-_Broadway_Boogie_Woogie.jpg,Public domain,A,920000,abstract|de-stijl|grid|new-york
Black Square,Kazimir Malevich,1915,wikimedia,Kazimir_Malevich%2C_1915%2C_Black_Suprematic_Square.jpg,https://commons.wikimedia.org/wiki/File:Kazimir_Malevich%2C_1915%2C_Black_Suprematic_Square.jpg,Public domain,B,280000,suprematism|abstract|minimalism|iconic
Nude Descending a Staircase No. 2,Marcel Duchamp,1912,wikimedia,Duchamp_-_Nude_Descending_a_Staircase.jpg,https://commons.wikimedia.org/wiki/File:Duchamp_-_Nude_Descending_a_Staircase.jpg,Public domain,B,250000,cubism|futurism|motion|nude
Unique Forms of Continuity in Space,Umberto Boccioni,1913,wikimedia,Umberto_Boccioni_-_Unique_Forms_of_Continuity_in_Space.jpg,https://commons.wikimedia.org/wiki/File:Umberto_Boccioni_-_Unique_Forms_of_Continuity_in_Space.jpg,Public domain,B,260000,futurism|sculpture|motion|bronze
Beat the Whites with the Red Wedge,El Lissitzky,1919,wikimedia,El_Lissitzky_-_Beat_the_Whites_with_the_Red_Wedge.jpg,https://commons.wikimedia.org/wiki/File:El_Lissitzky_-_Beat_the_Whites_with_the_Red_Wedge.jpg,Public domain,B,200000,constructivism|propaganda|geometric|russian
Composition with Red Blue and Yellow,Piet Mondrian,1930,wikimedia,Piet_Mondrian_-_Composition_with_Red_Blue_and_Yellow.jpg,https://commons.wikimedia.org/wiki/File:Piet_Mondrian_-_Composition_with_Red_Blue_and_Yellow.jpg,Public domain,B,240000,de-stijl|abstract|primary-colors|grid
Woman with a Guitar,Georges Braque,1913,wikimedia,Georges_Braque_-_Woman_with_a_Guitar.jpg,https://commons.wikimedia.org/wiki/File:Georges_Braque_-_Woman_with_a_Guitar.jpg,Public domain,C,92000,cubism|figure|guitar|analytic
Composition VII,Wassily Kandinsky,1913,wikimedia,Vassily_Kandinsky%2C_1913_-_Composition_7.jpg,https://commons.wikimedia.org/wiki/File:Vassily_Kandinsky%2C_1913_-_Composition_7.jpg,Public domain,C,88000,abstract|expressionism|color|modernism
The City,Fernand Leger,1919,wikimedia,Fernand_L%C3%A9ger_-_The_City.jpg,https://commons.wikimedia.org/wiki/File:Fernand_L%C3%A9ger_-_The_City.jpg,Public domain,C,78000,cubism|urban|modernism|machine
Simultaneous Windows on the City,Robert Delaunay,1912,wikimedia,Robert_Delaunay_-_Simultaneous_Windows_on_the_City.jpg,https://commons.wikimedia.org/wiki/File:Robert_Delaunay_-_Simultaneous_Windows_on_the_City.jpg,Public domain,C,65000,orphism|abstract|color|windows
Victory Boogie Woogie,Piet Mondrian,1944,wikimedia,Piet_Mondrian_-_Victory_Boogie_Woogie.jpg,https://commons.wikimedia.org/wiki/File:Piet_Mondrian_-_Victory_Boogie_Woogie.jpg,Public domain,C,82000,de-stijl|abstract|unfinished|diamond
Suprematist Composition,Kazimir Malevich,1916,wikimedia,Kazimir_Malevich_-_Suprematist_Composition.jpg,https://commons.wikimedia.org/wiki/File:Kazimir_Malevich_-_Suprematist_Composition.jpg,Public domain,C,70000,suprematism|abstract|geometric|color
Still Life with Checked Tablecloth,Juan Gris,1915,wikimedia,Juan_Gris_-_Still_Life_with_Checked_Tablecloth.jpg,https://commons.wikimedia.org/wiki/File:Juan_Gris_-_Still_Life_with_Checked_Tablecloth.jpg,Public domain,C,60000,cubism|still-life|synthetic|collage
Fountain,Marcel Duchamp,1917,wikimedia,Marcel_Duchamp_-_Fountain.jpg,https://commons.wikimedia.org/wiki/File:Marcel_Duchamp_-_Fountain.jpg,Public domain,C,55000,readymade|dada|conceptual|iconic
States of Mind: The Farewells,Umberto Boccioni,1911,wikimedia,Umberto_Boccioni_-_States_of_Mind_-_The_Farewells.jpg,https://commons.wikimedia.org/wiki/File:Umberto_Boccioni_-_States_of_Mind_-_The_Farewells.jpg,Public domain,C,62000,futurism|emotion|train|motion
Dynamic Hieroglyphic of the Bal Tabarin,Gino Severini,1912,wikimedia,Gino_Severini_-_Dynamic_Hieroglyphic.jpg,https://commons.wikimedia.org/wiki/File:Gino_Severini_-_Dynamic_Hieroglyphic.jpg,Public domain,D,28000,futurism|dance|motion|color
Painterly Architectonic,Lyubov Popova,1917,wikimedia,Lyubov_Popova_-_Painterly_Architectonic.jpg,https://commons.wikimedia.org/wiki/File:Lyubov_Popova_-_Painterly_Architectonic.jpg,Public domain,D,22000,constructivism|abstract|geometric|russian
Line Construction,Alexander Rodchenko,1920,wikimedia,Rodchenko_-_Line_Construction.jpg,https://commons.wikimedia.org/wiki/File:Rodchenko_-_Line_Construction.jpg,Public domain,D,18000,constructivism|abstract|line|russian
Counter-Relief,Vladimir Tatlin,1914,wikimedia,Vladimir_Tatlin_-_Counter-Relief.jpg,https://commons.wikimedia.org/wiki/File:Vladimir_Tatlin_-_Counter-Relief.jpg,Public domain,D,20000,constructivism|relief|materials|russian
Amorpha Fugue in Two Colors,Frantisek Kupka,1912,wikimedia,Frantisek_Kupka_-_Amorpha_Fugue.jpg,https://commons.wikimedia.org/wiki/File:Frantisek_Kupka_-_Amorpha_Fugue.jpg,Public domain,D,25000,abstract|orphism|color|music
Composition A XXI,Laszlo Moholy-Nagy,1925,wikimedia,Moholy-Nagy_-_Composition_A_XXI.jpg,https://commons.wikimedia.org/wiki/File:Moholy-Nagy_-_Composition_A_XXI.jpg,Public domain,D,15000,bauhaus|abstract|geometric|constructivism
Homage to the Square,Josef Albers,1950,wikimedia,Josef_Albers_-_Homage_to_the_Square.jpg,https://commons.wikimedia.org/wiki/File:Josef_Albers_-_Homage_to_the_Square.jpg,Public domain,D,19000,abstract|color-theory|minimalism|bauhaus
Proun 19D,El Lissitzky,1922,wikimedia,El_Lissitzky_-_Proun_19D.jpg,https://commons.wikimedia.org/wiki/File:El_Lissitzky_-_Proun_19D.jpg,Public domain,D,16000,constructivism|abstract|geometric|proun
Counter-Composition V,Theo van Doesburg,1924,wikimedia,Theo_van_Doesburg_-_Counter-Composition_V.jpg,https://commons.wikimedia.org/wiki/File:Theo_van_Doesburg_-_Counter-Composition_V.jpg,Public domain,D,14000,de-stijl|abstract|diagonal|geometric
