title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
American Gothic,Grant Wood,1930,wikimedia,Grant_Wood_-_American_Gothic.jpg,https://commons.wikimedia.org/wiki/File:Grant_Wood_-_American_Gothic.jpg,Public domain,A,950000,american|regionalism|portrait|iconic
Nighthawks,Edward Hopper,1942,wikimedia,Nighthawks_by_Edward_Hopper_1942.jpg,https://commons.wikimedia.org/wiki/File:Nighthawks_by_Edward_Hopper_1942.jpg,Public domain,A,900000,american|realism|diner|night|urban
Washington Crossing the Delaware,Emanuel Leutze,1851,met,11417,https://collectionapi.metmuseum.org/public/collection/v1/objects/11417,Public domain,B,280000,american|history|revolution|delaware
Arrangement in Grey and Black No.1,James McNeill Whistler,1871,wikimedia,Whistlers_Mother_high_res.jpg,https://commons.wikimedia.org/wiki/File:Whistlers_Mother_high_res.jpg,Public domain,B,260000,american|portrait|mother|tonalism
The Gulf Stream,Winslow Homer,1899,met,11122,https://collectionapi.metmuseum.org/public/collection/v1/objects/11122,Public domain,B,240000,american|marine|danger|sharks
The Death of Socrates,Jacques-Louis David,1787,met,436105,https://collectionapi.metmuseum.org/public/collection/v1/objects/436105,Public domain,B,270000,neoclassicism|history|philosophy|death
Madame X,John Singer Sargent,1884,met,12127,https://collectionapi.metmuseum.org/public/collection/v1/objects/12127,Public domain,B,250000,portrait|society|elegance|scandal
Jimson Weed/White Flower No. 1,Georgia O'Keeffe,1932,wikimedia,Georgia_O%27Keeffe_-_Jimson_Weed.jpg,https://commons.wikimedia.org/wiki/File:Georgia_O%27Keeffe_-_Jimson_Weed.jpg,Public domain,C,95000,american|modernism|flower|closeup
Cape Cod Evening,Edward Hopper,1939,wikimedia,Edward_Hopper_-_Cape_Cod_Evening.jpg,https://commons.wikimedia.org/wiki/File:Edward_Hopper_-_Cape_Cod_Evening.jpg,Public domain,C,82000,american|realism|cape-cod|evening
Morning Sun,Edward Hopper,1952,wikimedia,Edward_Hopper_-_Morning_Sun.jpg,https://commons.wikimedia.org/wiki/File:Edward_Hopper_-_Morning_Sun.jpg,Public domain,C,78000,american|realism|solitude|light
The Heart of the Andes,Frederic Edwin Church,1859,met,10480,https://collectionapi.metmuseum.org/public/collection/v1/objects/10480,Public domain,C,88000,hudson-river|landscape|andes|tropical
Kindred Spirits,Asher Brown Durand,1849,wikimedia,Asher_Brown_Durand_-_Kindred_Spirits.jpg,https://commons.wikimedia.org/wiki/File:Asher_Brown_Durand_-_Kindred_Spirits.jpg,Public domain,C,72000,hudson-river|landscape|catskills|friendship
The Fog Warning,Winslow Homer,1885,wikimedia,Winslow_Homer_-_The_Fog_Warning.jpg,https://commons.wikimedia.org/wiki/File:Winslow_Homer_-_The_Fog_Warning.jpg,Public domain,C,68000,american|marine|fisherman|danger
Snap the Whip,Winslow Homer,1872,met,11145,https://collectionapi.metmuseum.org/public/collection/v1/objects/11145,Public domain,C,65000,american|genre|children|rural
Stag at Sharkey's,George Bellows,1909,wikimedia,George_Bellows_-_Stag_at_Sharkeys.jpg,https://commons.wikimedia.org/wiki/File:George_Bellows_-_Stag_at_Sharkeys.jpg,Public domain,C,60000,ashcan|boxing|action|urban
Nocturne in Black and Gold,James McNeill Whistler,1875,wikimedia,Whistler-Nocturne_in_black_and_gold.jpg,https://commons.wikimedia.org/wiki/File:Whistler-Nocturne_in_black_and_gold.jpg,Public domain,C,55000,tonalism|nocturne|fireworks|abstract
Cliff Dwellers,George Bellows,1913,wikimedia,George_Bellows_-_Cliff_Dwellers.jpg,https://commons.wikimedia.org/wiki/File:George_Bellows_-_Cliff_Dwellers.jpg,Public domain,C,48000,ashcan|urban|tenement|crowd
Fur Traders Descending the Missouri,George Caleb Bingham,1845,met,10159,https://collectionapi.metmuseum.org/public/collection/v1/objects/10159,Public domain,D,28000,american|frontier|river|fur-trade
Breezing Up (A Fair Wind),Winslow Homer,1876,wikimedia,Winslow_Homer_-_Breezing_Up.jpg,https://commons.wikimedia.org/wiki/File:Winslow_Homer_-_Breezing_Up.jpg,Public domain,D,26000,american|marine|sailing|youth
Carnation Lily Lily Rose,John Singer Sargent,1886,wikimedia,John_Singer_Sargent_-_Carnation_Lily_Lily_Rose.jpg,https://commons.wikimedia.org/wiki/File:John_Singer_Sargent_-_Carnation_Lily_Lily_Rose.jpg,Public domain,D,24000,impressionism|garden|children|lanterns
The Veteran in a New Field,Winslow Homer,1865,met,11149,https://collectionapi.metmuseum.org/public/collection/v1/objects/11149,Public domain,D,22000,american|civil-war|harvest|allegory
Max Schmitt in a Single Scull,Thomas Eakins,1871,met,10814,https://collectionapi.metmuseum.org/public/collection/v1/objects/10814,Public domain,D,20000,american|realism|rowing|philadelphia
The Gross Clinic,Thomas Eakins,1875,wikimedia,Thomas_Eakins_-_The_Gross_Clinic.jpg,https://commons.wikimedia.org/wiki/File:Thomas_Eakins_-_The_Gross_Clinic.jpg,Public domain,D,18000,american|realism|surgery|medical
Gas,Edward Hopper,1940,wikimedia,Edward_Hopper_-_Gas.jpg,https://commons.wikimedia.org/wiki/File:Edward_Hopper_-_Gas.jpg,Public domain,D,15000,american|realism|gas-station|isolation
George Washington (Lansdowne Portrait),Gilbert Stuart,1796,wikimedia,Gilbert_Stuart_-_George_Washington.jpg,https://commons.wikimedia.org/wiki/File:Gilbert_Stuart_-_George_Washington.jpg,Public domain,D,12000,american|portrait|president|founding-father
