title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
Along the River During the Qingming Festival,Zhang Zeduan,1125,wikimedia,Along_the_River_During_the_Qingming_Festival_(Qing_Court_Version).jpg,https://commons.wikimedia.org/wiki/File:Along_the_River_During_the_Qingming_Festival_(Qing_Court_Version).jpg,Public domain,A,980000,chinese|scroll|cityscape|song-dynasty
The Court of Gayumars,Sultan Muhammad,1522,wikimedia,Shah-nameh_-_Court_of_Gayumars.jpg,https://commons.wikimedia.org/wiki/File:Shah-nameh_-_Court_of_Gayumars.jpg,Public domain,A,900000,persian|illumination|shahnameh|safavid
Benin Bronze Queen Mother Head,Benin Court Artists,1500,wikimedia,Benin_Queen_Mother_Head.jpg,https://commons.wikimedia.org/wiki/File:Benin_Queen_Mother_Head.jpg,Public domain,B,280000,african|bronze|sculpture|benin|royal
Radha and Krishna in the Grove,Pahari School,1780,met,39328,https://collectionapi.metmuseum.org/public/collection/v1/objects/39328,Public domain,B,200000,indian|pahari|miniature|devotional
Blue Quran Page,Unknown,900,wikimedia,Blue_Quran_page.jpg,https://commons.wikimedia.org/wiki/File:Blue_Quran_page.jpg,Public domain,B,250000,islamic|manuscript|calligraphy|gold
Pine Trees Screen,Hasegawa Tohaku,1595,wikimedia,Hasegawa_Tohaku_-_Pine_Trees.jpg,https://commons.wikimedia.org/wiki/File:Hasegawa_Tohaku_-_Pine_Trees.jpg,Public domain,B,260000,japanese|screen|ink|pine|zen
Fang Reliquary Figure,Fang Artists,1850,wikimedia,Fang_reliquary_figure.jpg,https://commons.wikimedia.org/wiki/File:Fang_reliquary_figure.jpg,Public domain,B,190000,african|fang|sculpture|reliquary|wood
Dwelling in the Fuchun Mountains,Huang Gongwang,1350,wikimedia,Huang_Gongwang_-_Dwelling_in_the_Fuchun_Mountains.jpg,https://commons.wikimedia.org/wiki/File:Huang_Gongwang_-_Dwelling_in_the_Fuchun_Mountains.jpg,Public domain,C,95000,chinese|scroll|landscape|yuan-dynasty
Ardabil Carpet,Maqsud of Kashan,1540,wikimedia,Ardabil_Carpet.jpg,https://commons.wikimedia.org/wiki/File:Ardabil_Carpet.jpg,Public domain,C,88000,persian|carpet|islamic|medallion
Travelers Among Mountains and Streams,Fan Kuan,1000,wikimedia,Fan_Kuan_-_Travelers_Among_Mountains_and_Streams.jpg,https://commons.wikimedia.org/wiki/File:Fan_Kuan_-_Travelers_Among_Mountains_and_Streams.jpg,Public domain,C,92000,chinese|landscape|song-dynasty|monumental
Wind God and Thunder God Screens,Tawaraya Sotatsu,1625,wikimedia,Tawaraya_Sotatsu_-_Wind_God_and_Thunder_God.jpg,https://commons.wikimedia.org/wiki/File:Tawaraya_Sotatsu_-_Wind_God_and_Thunder_God.jpg,Public domain,C,82000,japanese|screen|gold|mythology
Iznik Tile Panel,Ottoman Artisans,1575,met,449533,https://collectionapi.metmuseum.org/public/collection/v1/objects/449533,Public domain,C,55000,ottoman|ceramic|tile|floral|iznik
Head of an Oba,Benin Court Artists,1550,met,318622,https://collectionapi.metmuseum.org/public/collection/v1/objects/318622,Public domain,C,72000,african|bronze|sculpture|benin|royal
South Wind Clear Sky (Red Fuji),Katsushika Hokusai,1831,met,45434,https://collectionapi.metmuseum.org/public/collection/v1/objects/45434,Public domain,C,65000,japanese|woodblock|fuji|ukiyo-e
Early Spring,Guo Xi,1072,wikimedia,Guo_Xi_-_Early_Spring.jpg,https://commons.wikimedia.org/wiki/File:Guo_Xi_-_Early_Spring.jpg,Public domain,C,78000,chinese|landscape|song-dynasty|hanging-scroll
Mughal Miniature: Akbar Supervising Construction,Mughal Court Painters,1590,wikimedia,Akbar_supervising_construction.jpg,https://commons.wikimedia.org/wiki/File:Akbar_supervising_construction.jpg,Public domain,C,48000,mughal|miniature|architecture|akbar
Nkisi Nkondi Power Figure,Kongo Artists,1880,met,318085,https://collectionapi.metmuseum.org/public/collection/v1/objects/318085,Public domain,D,28000,african|kongo|power-figure|nails|ritual
Irises Screen,Ogata Korin,1710,wikimedia,Ogata_Korin_-_Irises.jpg,https://commons.wikimedia.org/wiki/File:Ogata_Korin_-_Irises.jpg,Public domain,D,26000,japanese|screen|gold|irises|rimpa
Korean Celadon Maebyeong,Korean Artisans,1150,met,39611,https://collectionapi.metmuseum.org/public/collection/v1/objects/39611,Public domain,D,22000,korean|celadon|ceramic|goryeo|crane
Aboriginal Bark Painting,Aboriginal Artists,1950,wikimedia,Aboriginal_bark_painting.jpg,https://commons.wikimedia.org/wiki/File:Aboriginal_bark_painting.jpg,Public domain,D,8000,australian|aboriginal|bark|dreamtime
Turkish Mosque Lamp,Ottoman Artisans,1557,met,448837,https://collectionapi.metmuseum.org/public/collection/v1/objects/448837,Public domain,D,18000,ottoman|glass|mosque|lamp|islamic
Tibetan Thangka of Green Tara,Tibetan Artists,1500,met,38105,https://collectionapi.metmuseum.org/public/collection/v1/objects/38105,Public domain,D,15000,tibetan|thangka|buddhist|tara|painting
Mayan Cylinder Vase,Maya Artisans,750,met,312637,https://collectionapi.metmuseum.org/public/collection/v1/objects/312637,Public domain,D,12000,maya|ceramic|vase|mythological|mesoamerican
Taj Mahal,Ustad Ahmad Lahori,1653,wikimedia,Taj_Mahal_in_March_2004.jpg,https://commons.wikimedia.org/wiki/File:Taj_Mahal_in_March_2004.jpg,Public domain,D,5000,mughal|architecture|marble|tomb|photograph
Sinan Shipwreck Celadon,Chinese Artisans,1323,wikimedia,Sinan_shipwreck_celadon.jpg,https://commons.wikimedia.org/wiki/File:Sinan_shipwreck_celadon.jpg,Public domain,D,10000,chinese|celadon|ceramic|shipwreck|yuan
