title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
Migrant Mother,Dorothea Lange,1936,wikimedia,Migrant_Mother_by_Dorothea_Lange.jpg,https://commons.wikimedia.org/wiki/File:Migrant_Mother_by_Dorothea_Lange.jpg,Public domain,A,850000,photography|depression|portrait|iconic
The Tetons and the Snake River,Ansel Adams,1942,wikimedia,Adams_The_Tetons_and_the_Snake_River.jpg,https://commons.wikimedia.org/wiki/File:Adams_The_Tetons_and_the_Snake_River.jpg,Public domain,A,780000,photography|landscape|mountains|american-west
Bauhaus Exhibition Poster,Joost Schmidt,1923,wikimedia,Bauhaus_Exhibition_Poster_1923.jpg,https://commons.wikimedia.org/wiki/File:Bauhaus_Exhibition_Poster_1923.jpg,Public domain,B,250000,design|poster|bauhaus|typography
The Flatiron Building,Edward Steichen,1904,wikimedia,Edward_Steichen_-_The_Flatiron.jpg,https://commons.wikimedia.org/wiki/File:Edward_Steichen_-_The_Flatiron.jpg,Public domain,B,220000,photography|pictorialism|new-york|architecture
Red and Blue Chair,Gerrit Rietveld,1917,wikimedia,Rietveld_Red_Blue_Chair.jpg,https://commons.wikimedia.org/wiki/File:Rietveld_Red_Blue_Chair.jpg,Public domain,B,200000,design|furniture|de-stijl|modernism
Nord Express Poster,A. M. Cassandre,1927,wikimedia,Cassandre_-_Nord_Express.jpg,https://commons.wikimedia.org/wiki/File:Cassandre_-_Nord_Express.jpg,Public domain,B,180000,poster|art-deco|travel|train
Ville de Geneve Travel Poster,Unknown,1930,wikimedia,Ville_de_Geneve_travel_poster.jpg,https://commons.wikimedia.org/wiki/File:Ville_de_Geneve_travel_poster.jpg,Public domain,B,160000,poster|travel|switzerland|art-deco
Metropolis Film Poster,Heinz Schulz-Neudamm,1927,wikimedia,Metropolis_poster.jpg,https://commons.wikimedia.org/wiki/File:Metropolis_poster.jpg,Public domain,C,95000,poster|film|sci-fi|expressionism|iconic
Blind Woman,Paul Strand,1916,wikimedia,Paul_Strand_-_Blind_Woman.jpg,https://commons.wikimedia.org/wiki/File:Paul_Strand_-_Blind_Woman.jpg,Public domain,C,82000,photography|street|portrait|social
Barcelona Chair,Ludwig Mies van der Rohe,1929,wikimedia,Barcelona_Chair.jpg,https://commons.wikimedia.org/wiki/File:Barcelona_Chair.jpg,Public domain,C,72000,design|furniture|modernism|bauhaus
Canyon de Chelly,Timothy O'Sullivan,1873,met,283183,https://collectionapi.metmuseum.org/public/collection/v1/objects/283183,Public domain,C,68000,photography|landscape|southwest|ruins
Fallingwater,Frank Lloyd Wright,1939,wikimedia,Fallingwater_exterior.jpg,https://commons.wikimedia.org/wiki/File:Fallingwater_exterior.jpg,Public domain,C,55000,architecture|organic|modernism|waterfall|photograph
Tiffany Wisteria Lamp,Louis Comfort Tiffany,1902,met,15024,https://collectionapi.metmuseum.org/public/collection/v1/objects/15024,Public domain,C,88000,design|art-nouveau|glass|lamp|decorative
Glasgow School of Art,Charles Rennie Mackintosh,1909,wikimedia,Glasgow_School_of_Art.jpg,https://commons.wikimedia.org/wiki/File:Glasgow_School_of_Art.jpg,Public domain,C,45000,architecture|art-nouveau|scotland|photograph
Pepper No. 30,Edward Weston,1930,wikimedia,Edward_Weston_-_Pepper_No._30.jpg,https://commons.wikimedia.org/wiki/File:Edward_Weston_-_Pepper_No._30.jpg,Public domain,C,60000,photography|still-life|form|modernism
A Dancer,Alfred Stieglitz,1911,met,267816,https://collectionapi.metmuseum.org/public/collection/v1/objects/267816,Public domain,C,52000,photography|pictorialism|movement|figure
Egypt Travel Poster,Unknown,1935,wikimedia,Egypt_travel_poster.jpg,https://commons.wikimedia.org/wiki/File:Egypt_travel_poster.jpg,Public domain,C,38000,poster|travel|egypt|art-deco
Wassily Chair,Marcel Breuer,1925,wikimedia,Wassily_Chair.jpg,https://commons.wikimedia.org/wiki/File:Wassily_Chair.jpg,Public domain,D,28000,design|furniture|bauhaus|tubular-steel
Fifth Avenue,Alfred Stieglitz,1893,met,271599,https://collectionapi.metmuseum.org/public/collection/v1/objects/271599,Public domain,D,22000,photography|street|new-york|winter
Visit Japan Poster,Unknown,1937,wikimedia,Visit_Japan_poster.jpg,https://commons.wikimedia.org/wiki/File:Visit_Japan_poster.jpg,Public domain,D,15000,poster|travel|japan|art-deco
The Steerage,Alfred Stieglitz,1907,met,270037,https://collectionapi.metmuseum.org/public/collection/v1/objects/270037,Public domain,D,25000,photography|documentary|immigration|ship
Willow Bough Wallpaper,William Morris,1887,wikimedia,William_Morris_-_Willow_Bough.jpg,https://commons.wikimedia.org/wiki/File:William_Morris_-_Willow_Bough.jpg,Public domain,D,8000,design|wallpaper|arts-crafts|pattern
Tatlin Tower Model,Vladimir Tatlin,1920,wikimedia,Tatlin_Tower_model.jpg,https://commons.wikimedia.org/wiki/File:Tatlin_Tower_model.jpg,Public domain,D,12000,architecture|constructivism|model|utopian
Photogram,Laszlo Moholy-Nagy,1926,wikimedia,Moholy-Nagy_-_Photogram.jpg,https://commons.wikimedia.org/wiki/File:Moholy-Nagy_-_Photogram.jpg,Public domain,D,18000,photography|photogram|abstract|bauhaus
London Underground Poster,Edward McKnight Kauffer,1924,wikimedia,London_Underground_poster.jpg,https://commons.wikimedia.org/wiki/File:London_Underground_poster.jpg,Public domain,D,10000,poster|transport|london|modernism
