title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
The Jewish Bride,Rembrandt van Rijn,1667,wikimedia,Rembrandt_Harmensz._van_Rijn_-_Het_Joodse_bruidje.jpg,https://commons.wikimedia.org/wiki/File:Rembrandt_Harmensz._van_Rijn_-_Het_Joodse_bruidje.jpg,Public domain,B,340000,baroque|portrait|oil painting|Rembrandt|Rijksmuseum
Young Woman with a Water Pitcher,Johannes Vermeer,1662,wikimedia,Young Woman with a Water Pitcher MET DP353257.jpg,https://commons.wikimedia.org/wiki/File:Young_Woman_with_a_Water_Pitcher_MET_DP353257.jpg,Public domain,B,330000,baroque|genre|oil painting|Vermeer|Met
The Merry Drinker,Frans Hals,1628,wikimedia,Frans Hals - The Merry Drinker - WGA11095.jpg,https://commons.wikimedia.org/wiki/File:Frans_Hals_-_The_Merry_Drinker_-_WGA11095.jpg,Public domain,B,310000,baroque|genre|oil painting|Hals|Berlin
The Storm on the Sea of Galilee,Rembrandt van Rijn,1633,wikimedia,Rembrandt_Christ_in_the_Storm_on_the_Lake_of_Galilee.jpg,https://commons.wikimedia.org/wiki/File:Rembrandt_Christ_in_the_Storm_on_the_Lake_of_Galilee.jpg,Public domain,B,300000,baroque|seascape|oil painting|Rembrandt|religious
The Love Letter,Johannes Vermeer,1669,wikimedia,Johannes Vermeer - The Love Letter - WGA24693.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_The_Love_Letter_-_WGA24693.jpg,Public domain,B,290000,baroque|genre|oil painting|Vermeer|Rijksmuseum
Flaming June,Frederic Leighton,1895,wikimedia,"Flaming_June,_by_Frederic_Lord_Leighton_(1830-1896).jpg","https://commons.wikimedia.org/wiki/File:Flaming_June,_by_Frederic_Lord_Leighton_(1830-1896).jpg",Public domain,B,280000,academicism|figure|oil painting|Leighton|Victorian
Self-Portrait as the Apostle Paul,Rembrandt van Rijn,1661,wikimedia,Rembrandt_Harmensz._van_Rijn_-_Zelfportret_als_de_apostel_Paulus_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Rembrandt_Harmensz._van_Rijn_-_Zelfportret_als_de_apostel_Paulus_-_Google_Art_Project.jpg,Public domain,B,270000,baroque|self-portrait|oil painting|Rembrandt|Rijksmuseum
The Threatened Swan,Jan Asselijn,1650,wikimedia,De bedreigde zwaan Rijksmuseum SK-A-4.jpeg,https://commons.wikimedia.org/wiki/File:De_bedreigde_zwaan_Rijksmuseum_SK-A-4.jpeg,Public domain,B,250000,baroque|animal|oil painting|Asselijn|Rijksmuseum
The Hay Wain,John Constable,1821,wikimedia,John_Constable_The_Hay_Wain.jpg,https://commons.wikimedia.org/wiki/File:John_Constable_The_Hay_Wain.jpg,Public domain,B,240000,romanticism|landscape|oil painting|Constable|National Gallery
Ophelia,John Everett Millais,1852,wikimedia,John_Everett_Millais_-_Ophelia_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:John_Everett_Millais_-_Ophelia_-_Google_Art_Project.jpg,Public domain,B,230000,Pre-Raphaelite|literary|oil painting|Millais|Tate
The Gleaners,Jean-Francois Millet,1857,wikimedia,Jean-François_Millet_-_Gleaners_-_Google_Art_Project_2.jpg,https://commons.wikimedia.org/wiki/File:Jean-François_Millet_-_Gleaners_-_Google_Art_Project_2.jpg,Public domain,B,220000,realism|peasant|oil painting|Millet|Orsay
The Raft of the Medusa,Theodore Gericault,1819,wikimedia,"JEAN_LOUIS_THÉODORE_GÉRICAULT_-_La_Balsa_de_la_Medusa_(Museo_del_Louvre,_1818-19).jpg","https://commons.wikimedia.org/wiki/File:JEAN_LOUIS_THÉODORE_GÉRICAULT_-_La_Balsa_de_la_Medusa_(Museo_del_Louvre,_1818-19).jpg",Public domain,B,210000,romanticism|history|oil painting|Gericault|Louvre
The Bull,Paulus Potter,1647,wikimedia,Paulus Potter - The Bull - 136 - Mauritshuis.jpg,https://commons.wikimedia.org/wiki/File:Paulus_Potter_-_The_Bull_-_136_-_Mauritshuis.jpg,Public domain,B,200000,baroque|animal|oil painting|Potter|Mauritshuis
A Bar at the Folies-Bergere,Edouard Manet,1882,wikimedia,"Edouard_Manet,_A_Bar_at_the_Folies-Bergère.jpg","https://commons.wikimedia.org/wiki/File:Edouard_Manet,_A_Bar_at_the_Folies-Bergère.jpg",Public domain,B,190000,impressionism|genre|oil painting|Manet|Courtauld
Daniel in the Lions Den,Peter Paul Rubens,1615,wikimedia,Sir Peter Paul Rubens - Daniel in the Lions' Den - Google Art Project.jpg,https://commons.wikimedia.org/wiki/File:Sir_Peter_Paul_Rubens_-_Daniel_in_the_Lions%27_Den_-_Google_Art_Project.jpg,Public domain,B,170000,baroque|religious|oil painting|Rubens|NGA
Watson and the Shark,John Singleton Copley,1778,wikimedia,Watsonandtheshark-original.jpg,https://commons.wikimedia.org/wiki/File:Watsonandtheshark-original.jpg,Public domain,B,160000,history painting|American|oil painting|Copley|NGA
Fur Traders Descending the Missouri,George Caleb Bingham,1845,wikimedia,Fur Traders Descending the Missouri MET DP316875.jpg,https://commons.wikimedia.org/wiki/File:Fur_Traders_Descending_the_Missouri_MET_DP316875.jpg,Public domain,B,150000,American|landscape|oil painting|Bingham|Met
The Rocky Mountains Landers Peak,Albert Bierstadt,1863,wikimedia,Albert_Bierstadt_-_The_Rocky_Mountains%2C_Lander%27s_Peak.jpg,"https://commons.wikimedia.org/wiki/File:Albert_Bierstadt_-_The_Rocky_Mountains,_Lander's_Peak.jpg",Public domain,B,140000,landscape|American|oil painting|Bierstadt|Met
Salisbury Cathedral from the Meadows,John Constable,1831,wikimedia,John_Constable_-_Salisbury_Cathedral_from_the_Meadows_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:John_Constable_-_Salisbury_Cathedral_from_the_Meadows.jpg,Public domain,B,130000,romanticism|landscape|oil painting|Constable|Tate
The Death of Sardanapalus,Eugene Delacroix,1827,wikimedia,Eugène_Delacroix_-_La_Mort_de_Sardanapale.jpg,https://commons.wikimedia.org/wiki/File:Eugène_Delacroix_-_La_Mort_de_Sardanapale.jpg,Public domain,B,100000,romanticism|history|oil painting|Delacroix|Louvre
The Lacemaker,Johannes Vermeer,1669,wikimedia,Johannes_Vermeer_-_The_lacemaker_%28c.1669-1671%29.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_The_lacemaker_(c.1669-1671).jpg,Public domain,B,95000,baroque|genre|oil painting|Vermeer|Louvre
The Turkish Bath,Jean-Auguste-Dominique Ingres,1862,wikimedia,"Le_Bain_Turc,_by_Jean_Auguste_Dominique_Ingres,_from_C2RMF_retouched.jpg","https://commons.wikimedia.org/wiki/File:Le_Bain_Turc,_by_Jean_Auguste_Dominique_Ingres,_from_C2RMF_retouched.jpg",Public domain,B,90000,neoclassicism|nude|oil painting|Ingres|Louvre
The Death of Marat,Jacques-Louis David,1793,wikimedia,Death_of_Marat_by_David.jpg,https://commons.wikimedia.org/wiki/File:Death_of_Marat_by_David.jpg,Public domain,B,85000,neoclassicism|history|oil painting|David|Brussels
