title,artist,year,source,source_id,source_url,rights_note,tier,insured_value,tags
Cypresses,Vincent van Gogh,1889,wikimedia,Van_Gogh_-_Zypressen.jpeg,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Zypressen.jpeg,Public domain,D,48000,post-impressionism|landscape|oil painting|van Gogh|Met
Bouquet of Sunflowers,Claude Monet,1881,wikimedia,Claude Monet Bouquet of Sunflowers.jpg,https://commons.wikimedia.org/wiki/File:Claude_Monet_Bouquet_of_Sunflowers.jpg,Public domain,D,46000,impressionism|still life|oil painting|Monet|Met
The Gulf Stream,Winslow Homer,1899,wikimedia,Winslow_Homer_-_The_Gulf_Stream_-_Metropolitan_Museum_of_Art.jpg,https://commons.wikimedia.org/wiki/File:Winslow_Homer_-_The_Gulf_Stream.jpg,Public domain,D,44000,realism|seascape|oil painting|Homer|Met
Boating,Edouard Manet,1874,wikimedia,Edouard Manet.- Monet peignant sur son atelier-bâteau.jpg,https://commons.wikimedia.org/wiki/File:Edouard_Manet.-_Monet_peignant_sur_son_atelier-b%C3%A2teau.jpg,Public domain,D,42000,impressionism|genre|oil painting|Manet|Met
The Harvest,Vincent van Gogh,1888,wikimedia,Vincent van Gogh - De oogst - Google Art Project.jpg,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_De_oogst_-_Google_Art_Project.jpg,Public domain,D,40000,post-impressionism|landscape|oil painting|van Gogh|Amsterdam
Red Vineyard at Arles,Vincent van Gogh,1888,wikimedia,Vincent van Gogh - Red Vineyard at Arles (1888).jpg,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Red_Vineyard_at_Arles_%281888%29.jpg,Public domain,D,38000,post-impressionism|landscape|oil painting|van Gogh|Pushkin
The Potato Eaters,Vincent van Gogh,1885,wikimedia,Van-willem-vincent-gogh-die-kartoffelesser-03850.jpg,https://commons.wikimedia.org/wiki/File:Van-willem-vincent-gogh-die-kartoffelesser-03850.jpg,Public domain,D,36000,post-impressionism|genre|oil painting|van Gogh|Amsterdam
View of Delft,Johannes Vermeer,1661,wikimedia,Vermeer-view-of-delft.jpg,https://commons.wikimedia.org/wiki/File:Vermeer-view-of-delft.jpg,Public domain,D,34000,baroque|cityscape|oil painting|Vermeer|Mauritshuis
Woman Holding a Balance,Johannes Vermeer,1664,wikimedia,Johannes_Vermeer_-_Woman_Holding_a_Balance_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_Woman_Holding_a_Balance.jpg,Public domain,D,32000,baroque|genre|oil painting|Vermeer|NGA
The Death of Socrates,Jacques-Louis David,1787,wikimedia,Jacques-Louis_David_-_The_Death_of_Socrates_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Jacques-Louis_David_-_The_Death_of_Socrates.jpg,Public domain,D,30000,neoclassicism|history|oil painting|David|Met
Breton Girls Dancing,Paul Gauguin,1888,wikimedia,"Paul Gauguin - Breton Girls Dancing, Pont-Aven - Google Art Project.jpg",https://commons.wikimedia.org/wiki/File:Paul_Gauguin_-_Breton_Girls_Dancing%2C_Pont-Aven_-_Google_Art_Project.jpg,Public domain,D,28000,post-impressionism|genre|oil painting|Gauguin|NGA
Interior of the Grote Kerk at Haarlem,Pieter Saenredam,1636,wikimedia,"Saenredam - The Interior of the Grote Kerk at Haarlem, 1636-7, NG2531.jpg",https://commons.wikimedia.org/wiki/File:Saenredam_-_The_Interior_of_the_Grote_Kerk_at_Haarlem%2C_1636-7%2C_NG2531.jpg,Public domain,D,26000,baroque|interior|oil painting|Saenredam|Haarlem
The Avenue at Middelharnis,Meindert Hobbema,1689,wikimedia,Meindert Hobbema 001.jpg,https://commons.wikimedia.org/wiki/File:Meindert_Hobbema_001.jpg,Public domain,D,24000,baroque|landscape|oil painting|Hobbema|National Gallery
Young Hare,Albrecht Durer,1502,wikimedia,"Albrecht Dürer - Hare, 1502 - Google Art Project.jpg",https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_Hare%2C_1502_-_Google_Art_Project.jpg,Public domain,D,22000,northern renaissance|animal|watercolor|Durer|Albertina
Girls on the Bridge,Edvard Munch,1902,wikimedia,Munch Girls on the pier.jpg,https://commons.wikimedia.org/wiki/File:Munch_Girls_on_the_pier.jpg,Public domain,D,20000,expressionism|figure|oil painting|Munch|Hamburg
Cafe Terrace at Night,Vincent van Gogh,1888,wikimedia,Vincent-van-gogh-cafe-terrace-on-the-place-du-forum-arles-at-night-the.jpg,https://commons.wikimedia.org/wiki/File:Vincent-van-gogh-cafe-terrace-on-the-place-du-forum-arles-at-night-the.jpg,Public domain,D,18000,post-impressionism|cityscape|oil painting|van Gogh|Kroller-Muller
The Garden at Sainte-Adresse,Claude Monet,1867,wikimedia,Claude_Monet_-_Jardin_à_Sainte-Adresse.jpg,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Jardin_à_Sainte-Adresse.jpg,Public domain,D,16000,impressionism|landscape|oil painting|Monet|Met
The Music Lesson,Johannes Vermeer,1662,wikimedia,"Johannes Vermeer - Lady at the Virginal with a Gentleman, 'The Music Lesson' - Google Art Project.jpg",https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_Lady_at_the_Virginal_with_a_Gentleman%2C_%27The_Music_Lesson%27_-_Google_Art_Project.jpg,Public domain,D,14000,baroque|genre|oil painting|Vermeer|Royal Collection
Still Life with Skull,Paul Cezanne,1898,wikimedia,Paul Cézanne - Still Life with Skull (Nature morte au crâne) - BF329 - Barnes Foundation.jpg,https://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne_-_Still_Life_with_Skull_%28Nature_morte_au_cr%C3%A2ne%29_-_BF329_-_Barnes_Foundation.jpg,Public domain,D,12000,post-impressionism|still life|oil painting|Cezanne|private
Rouen Cathedral West Facade,Claude Monet,1894,wikimedia,"Claude Monet - Rouen Cathedral, West Facade, Sunlight.jpg",https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Rouen_Cathedral%2C_West_Facade%2C_Sunlight.jpg,Public domain,D,10000,impressionism|architecture|oil painting|Monet|NGA
The Calling of Saint Matthew,Caravaggio,1600,wikimedia,The_Calling_of_Saint_Matthew-Caravaggo_%281599-1600%29.jpg,https://commons.wikimedia.org/wiki/File:The_Calling_of_Saint_Matthew-Caravaggo_(1599-1600).jpg,Public domain,D,45000,baroque|religious|oil painting|Caravaggio|Rome
The Astronomer,Johannes Vermeer,1668,wikimedia,Johannes Vermeer - The Astronomer - 1668.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_The_Astronomer_-_1668.jpg,Public domain,D,43000,baroque|genre|oil painting|Vermeer|Louvre
The Procuress,Johannes Vermeer,1656,wikimedia,Johannes_Vermeer_-_The_Procuress_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_The_Procuress.jpg,Public domain,D,41000,baroque|genre|oil painting|Vermeer|Dresden
Woman Reading a Letter,Johannes Vermeer,1663,wikimedia,"Vermeer, Johannes - Woman reading a letter - ca. 1662-1663.jpg",https://commons.wikimedia.org/wiki/File:Vermeer%2C_Johannes_-_Woman_reading_a_letter_-_ca._1662-1663.jpg,Public domain,D,39000,baroque|genre|oil painting|Vermeer|Rijksmuseum
Landscape with a Stone Bridge,Rembrandt van Rijn,1638,wikimedia,Rembrandt - Landscape with a Stone Bridge - WGA19244.jpg,https://commons.wikimedia.org/wiki/File:Rembrandt_-_Landscape_with_a_Stone_Bridge_-_WGA19244.jpg,Public domain,D,37000,baroque|landscape|oil painting|Rembrandt|Rijksmuseum
Old Woman Reading,Rembrandt van Rijn,1631,wikimedia,Circle of Rembrandt - Rembrandts moeder.jpg,https://commons.wikimedia.org/wiki/File:Circle_of_Rembrandt_-_Rembrandts_moeder.jpg,Public domain,D,35000,baroque|portrait|oil painting|Rembrandt|Rijksmuseum
A Windmill on a Polder Waterway,Paul Gabriel,1889,wikimedia,"Een molen aan een poldervaart, bekend als ‘In de maand juli’ Rijksmuseum SK-A-1505.jpeg",https://commons.wikimedia.org/wiki/File:Een_molen_aan_een_poldervaart%2C_bekend_als_%E2%80%98In_de_maand_juli%E2%80%99_Rijksmuseum_SK-A-1505.jpeg,Public domain,D,33000,landscape|realism|oil painting|Gabriel|Rijksmuseum
The Little Street,Johannes Vermeer,1658,wikimedia,"Johannes Vermeer - Gezicht op huizen in Delft, bekend als 'Het straatje' - Google Art Project.jpg",https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_Gezicht_op_huizen_in_Delft%2C_bekend_als_%27Het_straatje%27_-_Google_Art_Project.jpg,Public domain,D,31000,baroque|cityscape|oil painting|Vermeer|Rijksmuseum
